Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_Sign in""))",Chrome 124.0.6367.91,,,01-08-2025 20:55:31,01-08-2025 20:55:34,2.631s,PASSED
,,,,,,,
Test Cases/SignIn,Chrome 124.0.6367.91,,,01-08-2025 20:55:52,01-08-2025 20:55:58,6.011s,FAILED
"DATA BINDING - {""firstName"":""Jane"",""lastName"":""Doe"",""password"":""welcome01"",""role"":""user"",""email"":""customer@practicesoftwaretesting.com""}",,,,,,,
"openBrowser("""")",Chrome 124.0.6367.91,,,01-08-2025 20:55:52,01-08-2025 20:55:54,1.443s,PASSED
"navigateToUrl(""http://localhost:4200/#/"")",Chrome 124.0.6367.91,,,01-08-2025 20:55:54,01-08-2025 20:55:54,0.574s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_Sign in""))",Chrome 124.0.6367.91,,,01-08-2025 20:55:54,01-08-2025 20:55:55,0.486s,PASSED
"click(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_Sign in""))",Chrome 124.0.6367.91,,,01-08-2025 20:55:55,01-08-2025 20:55:55,0.295s,PASSED
"setText(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/input_Login_email""), email)",Chrome 124.0.6367.91,,,01-08-2025 20:55:55,01-08-2025 20:55:56,0.817s,PASSED
"setText(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/input_Login_password""), password)",Chrome 124.0.6367.91,,,01-08-2025 20:55:56,01-08-2025 20:55:56,0.533s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/input_Login_btnSubmit""))",Chrome 124.0.6367.91,,,01-08-2025 20:55:56,01-08-2025 20:55:57,0.254s,PASSED
"click(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/input_Login_btnSubmit""))",Chrome 124.0.6367.91,,,01-08-2025 20:55:57,01-08-2025 20:55:57,0.263s,PASSED
"verifyElementNotPresent(findTestObject(""SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/div_Invalid email or password_1""), 0)",Chrome 124.0.6367.91,,,01-08-2025 20:55:57,01-08-2025 20:55:58,0.705s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/h1_My account""))",Chrome 124.0.6367.91,,,01-08-2025 20:55:58,01-08-2025 20:55:58,0.252s,PASSED
"verifyElementText(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_User Data not found""), firstName + "" "" + lastName)",Chrome 124.0.6367.91,,,01-08-2025 20:55:58,01-08-2025 20:55:58,0.374s,FAILED
,,,,,,,
Test Cases/SignIn,Chrome 124.0.6367.91,,,01-08-2025 20:56:17,01-08-2025 20:56:23,6.076s,FAILED
"DATA BINDING - {""firstName"":""Jack"",""lastName"":""Howe"",""password"":""welcome01"",""role"":""user"",""email"":""customer2@practicesoftwaretesting.com""}",,,,,,,
"openBrowser("""")",Chrome 124.0.6367.91,,,01-08-2025 20:56:17,01-08-2025 20:56:18,1.431s,PASSED
"navigateToUrl(""http://localhost:4200/#/"")",Chrome 124.0.6367.91,,,01-08-2025 20:56:18,01-08-2025 20:56:19,0.572s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_Sign in""))",Chrome 124.0.6367.91,,,01-08-2025 20:56:19,01-08-2025 20:56:19,0.490s,PASSED
"click(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_Sign in""))",Chrome 124.0.6367.91,,,01-08-2025 20:56:19,01-08-2025 20:56:20,0.293s,PASSED
"setText(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/input_Login_email""), email)",Chrome 124.0.6367.91,,,01-08-2025 20:56:20,01-08-2025 20:56:20,0.778s,PASSED
"setText(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/input_Login_password""), password)",Chrome 124.0.6367.91,,,01-08-2025 20:56:20,01-08-2025 20:56:21,0.540s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/input_Login_btnSubmit""))",Chrome 124.0.6367.91,,,01-08-2025 20:56:21,01-08-2025 20:56:21,0.264s,PASSED
"click(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/input_Login_btnSubmit""))",Chrome 124.0.6367.91,,,01-08-2025 20:56:21,01-08-2025 20:56:21,0.268s,PASSED
"verifyElementNotPresent(findTestObject(""SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/div_Invalid email or password_1""), 0)",Chrome 124.0.6367.91,,,01-08-2025 20:56:21,01-08-2025 20:56:22,0.800s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/h1_My account""))",Chrome 124.0.6367.91,,,01-08-2025 20:56:22,01-08-2025 20:56:22,0.239s,PASSED
"verifyElementText(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_User Data not found""), firstName + "" "" + lastName)",Chrome 124.0.6367.91,,,01-08-2025 20:56:22,01-08-2025 20:56:23,0.392s,FAILED
,,,,,,,
Test Cases/SignIn,Chrome 124.0.6367.91,,,01-08-2025 20:58:10,01-08-2025 20:58:14,3.604s,FAILED
"DATA BINDING - {""firstName"":""Bob"",""lastName"":""Smith"",""password"":""pass123"",""role"":""user"",""email"":""customer3@practicesoftwaretesting.com""}",,,,,,,
"openBrowser("""")",Chrome 124.0.6367.91,,,01-08-2025 20:58:10,01-08-2025 20:58:11,1.488s,PASSED
"navigateToUrl(""http://localhost:4200/#/"")",Chrome 124.0.6367.91,,,01-08-2025 20:58:11,01-08-2025 20:58:12,0.624s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_Sign in""))",Chrome 124.0.6367.91,,,01-08-2025 20:58:12,01-08-2025 20:58:13,1.477s,FAILED
